decade,avg_total_points_per_game,game_count
1940,150.044650379107,1187
1950,183.4953783939919,3462
1960,227.87787945724205,3169
1970,216.00617495711836,5830
1980,218.18378915962208,10055
1990,201.76272797994642,11569
2000,193.90139045471628,13305
2010,205.4577030812325,12495
2020,224.44963251188932,4626
