franchise_name,avg_points,games_played
Phoenix Suns,107.8226320582878,4392
Denver Nuggets,107.60036496350365,3836
Los Angeles Lakers,105.6583706653393,6027
Oklahoma City Thunder,105.3204186150078,4491
Houston Rockets,104.99888417763891,4481
Portland Trail Blazers,104.88851834206766,4198
Golden State Warriors,104.82224514354478,5817
Milwaukee Bucks,104.77170709589662,4411
San Antonio Spurs,104.66482550841074,3983
Boston Celtics,104.37585981002293,6106
